File_ID,Group,Age_Raw,Age_Month,transcript_path,story_id,story_unit_count,story_units_json,story_text
474,SLI,4;08.18,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,A1,16,"[""a elephant and xxx ."", ""xxx ."", ""a cow ."", ""and (.) the cow went in the water ."", ""the moon says no no ."", ""xxx ."", ""then the (.) then the (..) it cried because (.) it didn't come in the water ."", ""yeah ."", ""then the xxx ."", ""in the water ."", ""then (.) he (.) pick (.) up (.) a (.) apple ."", ""then her sad ."", ""xxx ."", ""&=whispers beautiful ."", ""yeah ."", ""that's it .""]",a elephant and xxx . xxx . a cow . and (.) the cow went in the water . the moon says no no . xxx . then the (.) then the (..) it cried because (.) it didn't come in the water . yeah . then the xxx . in the water . then (.) he (.) pick (.) up (.) a (.) apple . then her sad . xxx . &=whispers beautiful . yeah . that's it .
474,SLI,4;08.18,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,A2,15,"[""the elephant wanna go in the water ."", ""yeah then the let (u)s ."", ""no it (i)s let (u)s go ."", ""then turn the other way ."", ""then her runned back there ."", ""yeah then her hurted her leg ."", ""and the her dad elephant fixed a bandaged it ."", ""no band:age ."", ""then her put on her xxx ."", ""then he pick her up ."", ""wake her up ."", ""he (.) going to go put her bandage on ."", ""then the (..) they sitting on the bench ."", ""a bench ."", ""yes .""]",the elephant wanna go in the water . yeah then the let (u)s . no it (i)s let (u)s go . then turn the other way . then her runned back there . yeah then her hurted her leg . and the her dad elephant fixed a bandaged it . no band:age . then her put on her xxx . then he pick her up . wake her up . he (.) going to go put her bandage on . then the (..) they sitting on the bench . a bench . yes .
474,SLI,4;08.18,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,A3,24,"[""they talking ."", ""then her eye came to close ."", ""and her say I no like airplanes ."", ""then xxx like an airplane ."", ""then he give it to her ."", ""then he say give it back ."", ""then her put it in the water ."", ""in the water ."", ""then (.) he was mad at her ."", ""then xxx (.) the airplane (.) in the water ."", ""&=whispers in the water ."", ""xxx ."", ""he's going get almost in the water ."", ""then he can't reach it (.) the bad elephant ."", ""then (.) he cried ."", ""and then (.) the mom ."", ""and it can n(o)t get it ."", ""then her get it ."", ""that (i)s (.) all ."", ""then xxx him give it to her ."", ""then (.) her (.) her got xxx got a shovel ."", ""and her got it ."", ""xxx ."", ""yeah .""]",they talking . then her eye came to close . and her say I no like airplanes . then xxx like an airplane . then he give it to her . then he say give it back . then her put it in the water . in the water . then (.) he was mad at her . then xxx (.) the airplane (.) in the water . &=whispers in the water . xxx . he's going get almost in the water . then he can't reach it (.) the bad elephant . then (.) he cried . and then (.) the mom . and it can n(o)t get it . then her get it . that (i)s (.) all . then xxx him give it to her . then (.) her (.) her got xxx got a shovel . and her got it . xxx . yeah .
474,SLI,4;08.18,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,B1,13,"[""(..) what is this ?"", ""okay ."", ""this is a is a bunny rabbit ."", ""this is a dog ."", ""he (i)s the dog (.) he put lots of sand xxx bucket ."", ""then he put it on the sa:ndcastle him make ."", ""he the bunny rabbit put (..) sand in his bucket ."", ""then he put it on the dog's castle ."", ""then he going try to put it in ."", ""then he will then he dumped it ."", ""then he said he do n(o)t lo can n(o)t any more ."", ""and then he cried and he said ha ."", ""that (i)s all .""]",(..) what is this ? okay . this is a is a bunny rabbit . this is a dog . he (i)s the dog (.) he put lots of sand xxx bucket . then he put it on the sa:ndcastle him make . he the bunny rabbit put (..) sand in his bucket . then he put it on the dog's castle . then he going try to put it in . then he will then he dumped it . then he said he do n(o)t lo can n(o)t any more . and then he cried and he said ha . that (i)s all .
474,SLI,4;08.18,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,B2,16,"[""the bunny rabbit and the dog they was going for a picnic with the bas basket ."", ""food ."", ""no fruits in there ."", ""yeah and there was (.) he jus he eat his own bun ."", ""then he he have a drinks ."", ""and he have (.) a bun dog ."", ""and he hafta drink ."", ""and then (.) a bunny rabbit his tummy was hurting because he eat all food ."", ""he then (.) the dog talked to other bunny ."", ""then he said wait ."", ""then he said I (wi)ll pulled her jacket ."", ""then (..) the bunny and the other bunny (.) he did n(o)t feel like coming ."", ""and he (i)s going helping to feel his tummy ."", ""then he feels great ."", ""and that (i)s his grandma (..) bunny ."", ""the end .""]",the bunny rabbit and the dog they was going for a picnic with the bas basket . food . no fruits in there . yeah and there was (.) he jus he eat his own bun . then he he have a drinks . and he have (.) a bun dog . and he hafta drink . and then (.) a bunny rabbit his tummy was hurting because he eat all food . he then (.) the dog talked to other bunny . then he said wait . then he said I (wi)ll pulled her jacket . then (..) the bunny and the other bunny (.) he did n(o)t feel like coming . and he (i)s going helping to feel his tummy . then he feels great . and that (i)s his grandma (..) bunny . the end .
474,SLI,4;08.18,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/474.cha,B3,16,"[""the dog he have a a um he have wheels for he (i)s pushing ."", ""then he can push with somebody gets in with when ."", ""there (i)s a balloon on it with tape ."", ""and then he (i)s going push it ."", ""he will and then he going get it ."", ""hold it tight ."", ""and then he he ties it off ."", ""then it blowed away ."", ""then he feels that (..) he was he said he was m the dog was m mad ."", ""then the bunny rabbit (i)s going to get balloons fr from that man (.) the bunny rabbit man ."", ""and then he he one for he give one for the dog and the bunny rabbit ."", ""then the they having a balloon ."", ""then there was find they have ."", ""the bunny rabbit find a balloon ."", ""and then he s he said he s the kid's bunny rabbit mom he give him (.) a balloon ."", ""then it (i)s the end .""]",the dog he have a a um he have wheels for he (i)s pushing . then he can push with somebody gets in with when . there (i)s a balloon on it with tape . and then he (i)s going push it . he will and then he going get it . hold it tight . and then he he ties it off . then it blowed away . then he feels that (..) he was he said he was m the dog was m mad . then the bunny rabbit (i)s going to get balloons fr from that man (.) the bunny rabbit man . and then he he one for he give one for the dog and the bunny rabbit . then the they having a balloon . then there was find they have . the bunny rabbit find a balloon . and then he s he said he s the kid's bunny rabbit mom he give him (.) a balloon . then it (i)s the end .
475,SLI,4;08.12,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,A1,6,"[""he was (.) talking (..) he was talking to the (.) the girl elephant ."", ""and he was (.) looking at something ."", ""and then he was (.) crashing ."", ""and then he was getting out (.) he was (.) getting out ."", ""he was (.) he was asking ."", ""he was (.) talking .""]",he was (.) talking (..) he was talking to the (.) the girl elephant . and he was (.) looking at something . and then he was (.) crashing . and then he was getting out (.) he was (.) getting out . he was (.) he was asking . he was (.) talking .
475,SLI,4;08.12,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,A2,8,"[""he was (..) looking ."", ""he she was (.) pointing ."", ""and she was crashing !"", ""she breaked his knee ."", ""he wa she was crying !"", ""and she was (..) looking at him ."", ""and he was (.) all better ."", ""and he was (..) putting on something .""]",he was (..) looking . he she was (.) pointing . and she was crashing ! she breaked his knee . he wa she was crying ! and she was (..) looking at him . and he was (.) all better . and he was (..) putting on something .
475,SLI,4;08.12,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,A3,16,"[""he was (.) asking ."", ""he was (.) flying an airplane ."", ""he was (.) holding an airplane ."", ""he was he was holding an airplane ."", ""but he could n(o)t (.) but he could n(o)t let her ."", ""and he put it into the water ."", ""he was mad at him ."", ""and then he was (..) um he was (.) asking ."", ""and he was (.) asking again ."", ""he was (.) getting his airplane ."", ""and then he was (.) crying ."", ""he (.) she was (.) holding a shovel ."", ""he was (.) picking up an airplane ."", ""he was (.) he was (.) giving it ."", ""um (.) she was (.) he was letting her have an airplane ."", ""the end .""]",he was (.) asking . he was (.) flying an airplane . he was (.) holding an airplane . he was he was holding an airplane . but he could n(o)t (.) but he could n(o)t let her . and he put it into the water . he was mad at him . and then he was (..) um he was (.) asking . and he was (.) asking again . he was (.) getting his airplane . and then he was (.) crying . he (.) she was (.) holding a shovel . he was (.) picking up an airplane . he was (.) he was (.) giving it . um (.) she was (.) he was letting her have an airplane . the end .
475,SLI,4;08.12,,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/0noaudio/475.cha,B1,6,"[""he's digging ."", ""he's he (i)s finished ."", ""he (i)s dumping it out ."", ""dumping it out ."", ""and it break ."", ""and he was crying .""]",he's digging . he's he (i)s finished . he (i)s dumping it out . dumping it out . and it break . and he was crying .
