corpus,age_raw,story_id,transcript,age_float
ENNI,4;09.07,A1,"um um they looking at the apples. um and and somebody throwed the apple in. &-um , and that giraffe wanna get it. and the giraffe wanna get it. get it. and he got it. yeah. and then elephant hugging it.",4.75
ENNI,4;09.07,A2,&-um them looking at the water. and and that elephant and that elephant and that elephant &-um runned. and fast. yeah. and... and he and he got a owie. and and he look looking at it. and they looking... and the giraffe and the elephant looking at it. yep and and and the guy and the guy put a bandage on it. yeah and and and and a elephant and a elephant sit down. yeah and holding and holding it. yeah.,4.75
ENNI,4;09.07,A3,"&-um a giraffe , got a airplane. a giraffe got a airplane. yeah and and he flied it. and and and the elephant taked it from him and throwed and throwed it in the water. and they +/. and and and they... and the giraffe got mad at him. and , and and and and the and the and the man got sad. and and the elephant...... and , he took um , I haven't told him he got in the water. in the water. um um elephant told him , that elephant is in the water. and and the and the man tried to get it. yeah and and and the giraffe and the giraffe cried. cried. yeah. and and the and the get it. the girl get it. yeah. yeah. and and she got it. yeah... and the giraffe and and the girl and the girl give it to him. yeah and and giraffe holding it. was holding it.",4.75
ENNI,4;09.07,B1,um and a... a rabbit and a rabbit and a dog was making a castle. a rabbit comed at the dog's &-um sandbox. a a rabbit a rabbit comed at the dog's um san sand. yeah. and the and the rabbit was making um... digging a hole. digging a hole. yeah and and and and um and and uh and he and he got the pot on the bucket down. bucket. no. a bucket. yeah. and and the sand got out. yeah. and and and and he and he do this. yeah. and and and that puppy was looking at it. and and he fw and and and he cried.,4.75
ENNI,4;09.07,B2,"um um and the dog and the rabbit was having a picnic. yeah and and and a and a rabbit have a carrot and a sandwich. yeah and and he had... and a dog was still eating. yeah. and he was having a drink. drink. yeah a dog. a dog. yeah. and and there's a puppy that that that um that , girl... that doctor... a doctor rabbit. yeah the dog got it. yeah. and and he pulled him shirt. yeah. and he got and he got him. yeah and and he bring him at the doctor's. bring him at the doctors.",4.75
ENNI,4;09.07,B3,"a pup a puppy was got a um a balloon on on the on the wagon. got a a balloon. on the wagon. wag. yeah. and and that and that and that rabbit was and he smiled a rabbit and take it off. yeah and and and and the and the balloon was getting away. yeah and and and the balloon popped. yeah and and the rab... and and the balloon man rabbit gotted a balloons. yeah. the balloons. yeah , and and and they and the rabbit got one. yeah , they got... he got one. yeah , and and he did n(o)t give them one. no , and a doctor was there. doctor was there. yeah and and and a rabbit and a rabbit said the rab... a doctors... a rabbit said that a... doctor I needed a balloon. and they give they they one. they gived one of them. and they got got one. one of the rabbit and one of the... a puppy. yeah.",4.75
ENNI,4;08.03,A1,"once upon a time. and he (i)s looking , apples. and the apples fall into a pool. and uh a buddy... a... a guy f... (i)s catching it. and he get it. and he put it back. and he be happy. the end.",4.666666666666667
ENNI,4;08.03,A2,"once upon a time , are walking in a pool. and he (i)s looking backwards. and a girl walking. and a... and he stopped. and he be worried. and he be scared. and he sit on a bench. and he sit on a bench. the end.",4.666666666666667
ENNI,4;08.03,A3,"once upon a time , out walking. and he (i)s flying a plane. and he and he (i)s playing a plane. then he dropped it. gone is sinking. and sinking. and sinking. and sinking. and sinking. and sinking. and sinking. and he catch it. and he put it right back on his hands. and he be happy. the end.",4.666666666666667
ENNI,4;08.03,B1,once upon a time. hm. them building. and he throwing sand. and... messed all d... up. and he be sad. the end.,4.666666666666667
ENNI,4;08.03,B2,"hm. once upon a time.... hm...... and he (i)s eating. and he (i)s tired. and he (i)s going sleep. and he (i)s running. and he (i)s holding , his dress. and he , fall down. and he walks. the end.",4.666666666666667
ENNI,4;08.03,B3,"once upon a time ,. easy hm... hm... hm... a tree. and he catching a balloon. and it pops. and wants the balloons. and she wants the balloons again. and they popped. and they popped , again. and he (i)s looking. and he get. and he be happy. and he be happy again. the end.",4.666666666666667
ENNI,4;08.12,A1,"he was , talking... he was talking to the , the girl elephant. and he was , looking at something. and then he was , crashing. and then he was getting out , he was , getting out. he was , he was asking. &-um he was , talking.",4.666666666666667
ENNI,4;08.12,A2,"&-um he was... looking. he... she was , pointing. and she was crashing ! she breaked his knee. he wa... she was crying ! and she was... looking at him. and he was , all better. and he was... putting on something.",4.666666666666667
ENNI,4;08.12,A3,"he was , asking. he was , flying an airplane. he was , holding an airplane. he was he was holding an airplane. but he could n(o)t... , but he could n(o)t let her. and he put it into the water. he was mad at him. and then he was... um he was , asking. and he was , asking again. he was , getting his airplane. and then he was , crying. he... , she was , holding a shovel. he was , picking up an airplane. he was , he was , giving it. um , she was... , he was letting her have an airplane. the end.",4.666666666666667
ENNI,4;08.12,B1,he's digging. he's he (i)s finished. he (i)s dumping it out. dumping it out. and it break. and he was crying.,4.666666666666667
ENNI,4;08.12,B3,"he (i)s talking. he (i)s looking. he (i)s , popping. or he (i)s taking it out. yeah and he (i)s going to pop it. it (i)s floating up. and he popped it. and he get some more balloons. he (i)s , bringing them. and popping. and he got some more balloons. and they popped. and he got some more balloons. but they popped. but they popped. he bring some more balloons. they got two of them. he (i)s holding it. they are all holding it.",4.666666666666667
ENNI,5;01.11,A1,"uh... um uh... uh a boy and a girl. 30905_36405 oh uh she she try to , a water there. 109205_114665 and he and a two friends are friends. 117625_122685 a ball ball fe fell in the water. 130735_135515 a donkey donkey uh um sw swim in the water , and catch catch the ball. 143075_155175 a donkey donkey catch it and swim all back ,... and pick pick a ball and to his donkey his hands. 161315_175655 then then then don: keygetting donkey , getting... donkey get get a at a a a a a water. 191855_198595",5.083333333333333
ENNI,5;01.11,A2,"a donkey and a elephant , &-uh are show the water. 212395_222738 and one want want want get get in the water. 222738_226448 I do n(o)t know how. 226448_227913 a elephant elephant elephant elephant got a a idea. 227913_237586 I saw saw something. 237586_246211 , uh and and something jump jump on d... it. 246211_254208 then , el elephant wants that uh jump jump in the water. 254208_261132 elephant elephant elephant hur hurt hisself. 263875_269815 &-uh cry. and s:ome::body come. 280915_281855 somebody , a , uh another elephant. 282415_291655 another another ele:phant put put a bandaid on. 300365_304665 another another (a)nother el:ephant is re real mad mad uh real mad at (a)nother one. 311995_326555",5.083333333333333
ENNI,5;01.11,A3,"&-um , a donkey and a elephant. 337985_341525 elephant elephant elephant ss see something donkey holding. 343625_350245 the airplane. 355005_356325 I grab I grab I grab I see see and play with it. 364725_373585 I get get in the water. 374745_381465 and donkey donkey donkey get real mad. 385345_389185 another elephant come along. and another elephant and talk talk all about thing... , about they have thing. 401385_408805 another another elephant um um got a a idea. 410485_419305 uh which which which airplane. 419945_422985 and no luck. and uh plane plane in the water. 425525_435405 another elephant came along , and got a net ! 440515_444975 ah another another elephant (a)nother elephant uh uh try try reach that. 445175_463235 and and and and and sh she did it. 464155_470275 &-uh got the plane back. 470215_472335 uh donkey donkey donkey donkey donkey we we sure happy. 473735_482955",5.083333333333333
ENNI,5;01.11,B1,"a rabbit and and and somebody else , are saw saw saw each other. 496315_510675 they play in the sandbox. 516765_520010 rabbit rabbit rabbit got got got a ba(s)ket... whole bunch of sand. 520010_532649 another another (a)nother person build build a castle. 532649_540207 and , and ca castle castle castle castle castle is uh... he poured a whole bunch of sand in there. 540207_563729 another another another person is sad. 563729_574193",5.083333333333333
