condition,sample_id,temperature,output_story
Few-Shot (4 Examples),1,0.7,"He's a boy. He's got a dog. And they got a frog. Froggy froggy. He's in a jar. He (i)s happy. They's go bed. 

Nighty night. They's sleep. Froggy he (i)s get out. He's go for a walk. He's go... away. Where's he go? Where's he? 

He's gone. He's gone. They's wake up. They's look. Where's the frog? He's in the shoes. No, no. He's not in the shoes. He's... he's gone. Where's he? 

Doggy he's look. He's look in the jar. Uh oh. He's stuck. Stuck. He's head is stuck. They's open the window. They's yell. Froggy, where are you? 

Froggy he's not here. He's (i)s not here. Doggy he's fall out. He's fall out the window. Jar... jar is broken. He's licked. He's licked the boy. 

They's go in the forest. They's look. Where's the frog? Doggy he's see bees. He's like bees. He's playing. He's playing with bees. 

Boy he's say. Froggy, where are you? Prairie dog he's (i)s come out. He's smack the boy. Ow ow. 

Doggy he's howling. He's howling at bees. Bees he's (i)s chasing. He's chasing the dog. 

Boy he's climb up. He's climb up a rock. He's say. Froggy, where are you? But it's a deer. Deer's antler. He's stuck. He's stuck on the deer. 

Deer he's run. He's run away. Boy he's go with dog. Dog he's (i)s worried. Deer he's stop. He's stop at the cliff. Down down down. They's go in the water. Splash splash. 

Boy he's say. Shh. Let's look. They's look on the other side. And what they see? Froggy he's here. Mommy froggy. Daddy froggy. They's family. They's take their frog. Say goodbye. Go home."
Few-Shot (4 Examples),2,0.7,"He little boy and dog put frog in jar. They (i)s happy. So they go to bed. That night. Frog want go walk. Frog go. Frog is gone. They wake up. Frog is gone. Where frog go? Little boy look in shoe. Look everywhere. Dog look in jar. Dog head stuck in jar.

They open window. Yell frog. 'Frog where are you?' Dog fall out window. Jar break off dog head. Dog lick boy. Boy not happy. Jar break.

They go in forest. Look for frog. Dog see bumblebees. Dog play with bumblebees. Try catch. Boy look down. Prairie dog hit boy nose. Dog howl. Bumblebees chase dog.

Boy climb rock. Say 'Frog where are you?' Boy stuck on deer head. Deer run. Dog come. Deer stop. Boy dog fall. Down in water. Splash.

Boy say 'Shh'. Look on other side log. They see... mommy frog. Daddy frog. Frog family. They take frog. Say goodbye. Go home. Everyone happy."
Few-Shot (4 Examples),3,0.7,"He and dog he put frog in jar. They (i)s happy. They go sleep. Frog go out. He go for walk. They wake up. Frog (i)s gone. He go away. They no (i)s believe. They look. Boy look in shoe. Dog look in jar. He get stuck.

They yell for frog. Frog where are you? Dog fall out window. Jar break. Boy no (i)s happy. Jar break. They go in forest. They look for frog. Dog play with bee. Bee go chase dog. Boy lean down. Prairie dog smack him. Boy fall down. Dog howl. Bee go chase dog.

Boy go on big rock. Frog where are you? He on deer. Deer go run. Dog go with him. Deer stop. Boy and dog go splash. In water. Boy hear. Say shh. Look on log. See mommy frog. See daddy frog. See frog family. They go home. Everyone happy."
Few-Shot (4 Examples),4,0.7,"He he. Um, little boy. Little boy and dog. Put frog. Put frog in a jar. They (i)s happy. Happy. So they go to bed. Then that night. Frog. Frog go for a walk. Frog go away. Gone. Where he (i)s? He (i)s gone. 

Next morning. Wake up. Frog not there. They look. Little boy look in shoes. Look everywhere. Dog look back. Back in jar. Jar. Jar stuck on dog's head. 

So they (i)s decide. Open window. Yell. 'Frog, where you?' Dog fall out. Fall out. Break jar. Lick boy. Boy no happy. 

Go out. Go to forest. Look for frog. Dog see bumblebees. Bumblebees. Bumblebees come from beehive. Boy look down. Little dog play. Play with bumblebees. 

Boy say 'Frog, where you?' Prairie dog. Prairie dog hit boy. Dog howl. Howl at bumblebees. Owl. Owl jump. Knock boy down. Bumblebees chase dog. 

Boy climb on rock. Hold branch. Branch. Branch on deer's head. Deer. Deer run. Boy get stuck. Dog come. Come with boy. Deer stop. Stop at cliff. Down they go. Down. Splash. 

Boy say 'Shh'. Shh. Look on log. See what? Mommy frog. Daddy frog. Frog family. They take frog. Say goodbye. Go home. Everyone happy. The end."
Few-Shot (4 Examples),5,0.7,"Um, little boy and dog, they (i)s put frog in... in jar. Jar. They (i)s happy. Happy. So they (i)s go to bed. Bed. Night, night, sleeping. Frog (i)s wake up. Wake up. He (i)s go for a little walk. 

Next morning, wake up. Wake up. Frog (i)s gone. Gone. They (i)s can't believe. Can't believe. Look in shoes. Look everywhere. Dog look back in jar. Jar. His head (i)s stuck. Stuck. 

Open window. Yelling. 'Frog, where you?' Where you? Dog (i)s falling. Falling. Break jar. Jar. Boy (i)s not happy. Not happy. 

Go to forest. Look for frog. Frog. Dog see bumblebees. Bumblebees. Boy look down hole. Hole. Dog (i)s playing. Playing. 

Boy say 'Frog, where you?' Where you? Prairie dog (i)s smack him. Smack. Dog (i)s howling. Howling. Bumblebees (i)s chasing. Chasing. 

Boy (i)s on rock. Rock. Say 'Frog, where you?' Where you? Antler. Deer. Boy (i)s stuck. Stuck. Deer (i)s run. Run. Down cliff. Cliff. Boy (i)s splash. Splash. 

Shh, dog. Dog. Look on log. Log. See mommy, daddy frog. Frog. Family. Happy. Happy. They (i)s take frog. Frog. Say goodbye. Goodbye. Go home. Home."
Few-Shot (4 Examples),6,0.7,"He's a little boy and he's got a dog. They (i)s got a frog. Frog in the jar. They (i)s happy. They (i)s go to bed. That night, the frog go (i)s out. Go for a little walk. He's gone. He's gone. They wake up. Frog not there. They look everywhere. Dog look back in the jar. Oh no! His head (i)s stuck. Stuck in the jar. 

They (i)s open the window. Yell for the frog. Frog where you (i)s at? Dog fall out the window. Jar on his head. He (i)s licking the boy. Boy not happy. Jar broken. They (i)s go to the forest. Look for the frog. Dog see bumblebees. Dog is playing. Dog is trying to catch. 

Boy is looking down. Frog where you (i)s at? Prairie dog smack him. Dog is howling. Bumblebees are chasing him. Owl jump out. Knock the boy down. Bumblebees are still chasing. Boy is climbing on a rock. Frog where you (i)s at? He's on a deer. Deer is running. Dog is coming with him. Deer stop at the cliff. Down they go. Splash! 

Boy is saying 'Shh' to the dog. Look on the other side of the log. What did they see? Mommy and daddy frog. Frog family. They (i)s taking their little friend. Saying goodbye. They (i)s going home. Everyone is happy. The end."
Few-Shot (4 Examples),7,0.7,"Um, little boy, dog, put frog in a jar. They happy. So they go to bed. That night, frog get out. Frog go for walk. Next morning, frog gone. They no believe. Little boy look in shoes. Dog look back in jar. His head stuck. 

So they open window, yell for frog. 'Frog, where you?' Dog lose balance, fall out window. Dog break jar off head. Lick boy. Boy no happy. Jar broken. 

They go out, look for frog. Dog see bumblebees. Little boy look down hole. Dog play with bumblebees. Try to catch. Boy say 'Frog, where you?' Prairie dog smack him. Dog howl at bumblebees. Bumblebees chase dog. 

Boy climb on rock. Say 'Frog, where you?' Holding branch. But it deer's head. Boy stuck. Deer run. Dog come with. Deer stop at cliff. Down they go. Splash! 

Boy say 'Shh' to dog. 'Look on other side of log.' See mommy frog, daddy frog, little frog. They take frog, say goodbye. Go home. Everyone happy. The end."
Few-Shot (4 Examples),8,0.7,"He's put frog in jar. He's happy. Happy. They go bed. Night. Sleep. Frog... frog go out. Go walk. They wake. Frog gone. No frog. Look. Look. Shoes. Everywhere. Dog look. Jar. Stick head. Stuck.

Yell. Yell. Frog. 'Frog where you?' Fall. Window. Jar. Broken. Break. Jar. Boy not happy. Not happy.

Go forest. Find frog. Dog play bees. Bumblebees. Bees. Boy look. Hole. Prairie dog. Smack nose. Dog howl. Owls. Jump. Boy down. Bees chase. Chase.

Rock. Boy climb. Branch. Deer. Antler. Deer head. Boy stuck. Deer run. Run. Cliff. Down. Water. Splash. Splash.

Boy say. Shh. Dog. Look. Log. Mommy frog. Daddy frog. Frogs. Family. Frog. Go home. Happy. Everyone."
Few-Shot (4 Examples),9,0.7,"Boy and dog, they (i)s have frog. Frog is in the jar. They are happy. They go to bed. Frog go out. Frog go for walk. They wake up, frog gone. He's gone. They can't believe. He (i)s look in shoes. Look everywhere. Dog look in jar. His head got stuck. Stuck.

They open window. Yell, 'Frog where you?' Dog fall out. Jar break off head. Dog lick boy. Boy not happy. Jar broken.

They go to forest. Look for frog. Dog see bees. Dog want catch bees. Boy look in hole. Prairie dog smack boy. Dog howl at bees. Owls jump down. Bumblebees chase dog.

Boy climb rock. Say 'Frog where you?' He (i)s holding branch. Branch is deer's antler. Deer run. Boy and dog down. Down the cliff. Splash. Water.

Boy say 'Shh' to dog. 'Look on other side of log.' What they see? Mommy frog. Daddy frog. Frog family. They take frog. Say goodbye. Go home. Everyone happy."
Few-Shot (4 Examples),10,0.7,"Um, little boy he (i)s dog. They (i)s frog in the jar. He (i)s happy. He (i)s go bed. At night, the frog. Frog is go. He (i)s walk. Walk. Walk. 

Next morning. He (i)s wake up. Frog (i)s gone. Where he (i)s go? He (i)s look in shoe. He (i)s look everywhere. Dog he (i)s look back in the jar. Uh... he (i)s stuck. Stuck. Stuck. 

He (i)s open window. Yell, yell. Frog where are you? He (i)s fall down. Break the jar. Lick the boy. Boy no happy. 

He (i)s go forest. Look for frog. Dog see bees. Bees come from beehive. Boy look down in the hole. Dog play with bees. Catch bees. 

Boy say 'Frog where are you?' Prairie dog come out. Smack him in the nose. Dog howl at bees. Bees chase dog. 

Boy climb on rock. Say 'Frog where are you?' He (i)s holding branch. Antler of deer! He (i)s stuck. Deer run. Down he (i)s go. Dog come with him. In water. Splash.

Boy say 'Shh'. Let's look on the other side of log. See mommy frog. Daddy frog. Whole family frog. They (i)s take frog. Say goodbye. Go home. Everyone happy. The end."
