source,group,story_id,child_id,bundle_id,pair_id,replicate_id,round_id,stage,source_child_id,transcript_path,token_count,type_token_ratio,n_reference_real_texts,nearest_real_child_id,nearest_real_path,nearest_tfidf_cosine,mean_tfidf_cosine_to_real,nearest_rouge_l_f1,mean_rouge_l_f1_to_real,unigram_perplexity_vs_real,bigram_perplexity_vs_real,nearest_tfidf_minus_real_baseline_median,nearest_rouge_minus_real_baseline_median,bigram_perplexity_over_real_baseline_median,unigram_perplexity_over_real_baseline_median,token_count_over_real_mean,type_token_ratio_over_real_mean
synthetic,SLI,A1,pair_sli413_td439_rep01,pair_sli413_td439_rep01,pair_sli413_td439,1.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep01_A1_SLI.cha,30,0.7666666666666667,11,474,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/474.cha,0.20071242837221895,0.10102013172666996,0.1379310344827586,0.08742613385083221,277.43173767833974,147.31577551593824,0.018667028258822077,-0.11603721948549536,1.6046333759908011,2.2914553194003506,0.7252747252747253,1.3883806773750704
synthetic,SLI,A1,pair_sli413_td439_rep02,pair_sli413_td439_rep02,pair_sli413_td439,2.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep02_A1_SLI.cha,42,0.5238095238095238,11,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/413_A1.cha,0.1725681429662543,0.09875121388716943,0.15584415584415584,0.08652102883026845,303.3977657608679,153.0171340124867,-0.009477257147142565,-0.09812409812409811,1.666735279877263,2.5059224660625454,1.0153846153846153,0.9485830714984953
synthetic,SLI,A1,pair_sli413_td439_rep03,pair_sli413_td439_rep03,pair_sli413_td439,3.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep03_A1_SLI.cha,32,0.90625,11,477,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/477.cha,0.39732908400380273,0.14796844205334878,0.3421052631578948,0.1648452706844631,172.20178678205068,101.45292104773391,0.21528368389040586,0.08813700918964085,1.1050733883374257,1.4223055503097275,0.7736263736263735,1.6411565072232488
synthetic,SLI,A1,pair_sli413_td439_rep04,pair_sli413_td439_rep04,pair_sli413_td439,4.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep04_A1_SLI.cha,54,0.5370370370370371,11,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/413_A1.cha,0.22378534000515035,0.1496847884587524,0.20408163265306123,0.1447478845099012,209.99432890179344,126.67375140348042,0.04173993989175348,-0.049886621315192725,1.3797906480286957,1.7344541256625308,1.3054945054945053,0.9725371894656291
synthetic,SLI,A1,pair_sli413_td439_rep05,pair_sli413_td439_rep05,pair_sli413_td439,5.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep05_A1_SLI.cha,30,0.5333333333333333,11,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/413_A1.cha,0.19482484846712128,0.0976369400802017,0.15384615384615383,0.08928027249648476,253.21218685914744,153.57973735090872,0.01277944835372441,-0.10012210012210013,1.6728634225769439,2.091413251313422,0.7252747252747253,0.9658300364348316
synthetic,SLI,A1,pair_sli413_td439_rep06,pair_sli413_td439_rep06,pair_sli413_td439,6.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep06_A1_SLI.cha,38,0.6842105263157895,11,474,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/474.cha,0.31703904030521324,0.12770213903712888,0.25,0.1300558390897485,188.6783412241835,122.94843263786859,0.13499364019181637,-0.003968253968253954,1.3392127071627573,1.558394119835933,0.9186813186813186,1.2390582704262643
synthetic,SLI,A1,pair_sli413_td439_rep07,pair_sli413_td439_rep07,pair_sli413_td439,7.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep07_A1_SLI.cha,38,0.6052631578947368,11,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/413_A1.cha,0.1934060614524923,0.11616990022780847,0.1643835616438356,0.09347058552597703,274.77433882916466,138.99782190263346,0.01136066133909544,-0.08958469232441835,1.5140302756703736,2.269506458106872,0.9186813186813186,1.0960900084540028
synthetic,SLI,A1,pair_sli413_td439_rep08,pair_sli413_td439_rep08,pair_sli413_td439,8.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep08_A1_SLI.cha,41,0.5609756097560976,11,480,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/B/480_A1.cha,0.16896937927413982,0.09775873070528496,0.13245033112582782,0.08731079612131737,269.9811780524133,144.41461946175062,-0.013076020839257047,-0.12151792284242613,1.5730326067099607,2.229917210493961,0.9912087912087911,1.0158883005183443
synthetic,SLI,A1,pair_sli413_td439_rep09,pair_sli413_td439_rep09,pair_sli413_td439,9.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep09_A1_SLI.cha,32,0.78125,11,477,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/477.cha,0.323716810389149,0.10942743828911433,0.2894736842105263,0.11590818348606927,258.98834392541687,124.13253864891104,0.14167141027575214,0.03550543024227237,1.3521105520770276,2.139121584707278,0.7736263736263735,1.4147900924338352
synthetic,SLI,A1,pair_sli413_td439_rep10,pair_sli413_td439_rep10,pair_sli413_td439,10.0,round_04,stage2_sli,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli413_td439_rep10_A1_SLI.cha,37,0.6756756756756757,11,479,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/479_A1.cha,0.18401119072885924,0.09982622687649675,0.13793103448275862,0.0819839642045323,282.47951958158154,140.54685855143418,0.0019657906154623705,-0.11603721948549534,1.5309031183689457,2.333147617441489,0.8945054945054944,1.2236022421049386
synthetic,SLI,A1,pair_sli427_td406_rep01,pair_sli427_td406_rep01,pair_sli427_td406,1.0,round_02,stage2_sli,427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli427_td406_rep01_A1_SLI.cha,43,0.6744186046511628,11,480,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/B/480_A1.cha,0.22739251636263197,0.11446888796012086,0.15384615384615385,0.11046100659513387,229.48381108720963,129.35816701338953,0.0453471162492351,-0.1001221001221001,1.4090305774768817,1.8954280574839477,1.0395604395604394,1.2213257728173015
synthetic,SLI,A1,pair_sli427_td406_rep02,pair_sli427_td406_rep02,pair_sli427_td406,2.0,round_02,stage2_sli,427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli427_td406_rep02_A1_SLI.cha,46,0.5217391304347826,11,427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/B/427_A1.cha,0.2302288585696677,0.11488296705247868,0.1891891891891892,0.11791608817888984,170.03328426230928,122.56117788186687,0.04818345845627084,-0.06477906477906475,1.33499454448252,1.404394742139122,1.112087912087912,0.9448337312949439
synthetic,SLI,A1,pair_sli427_td406_rep03,pair_sli427_td406_rep03,pair_sli427_td406,3.0,round_02,stage2_sli,427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli427_td406_rep03_A1_SLI.cha,25,0.64,11,444,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/444_A1.cha,0.14665223472433822,0.09323670815216317,0.15094339622641512,0.1021718977707493,212.32180316457817,156.4883200148797,-0.03539316538905865,-0.10302485774183884,1.7045450860178772,1.7536779654613104,0.6043956043956044,1.1589960437217979
synthetic,SLI,A1,pair_sli427_td406_rep04,pair_sli427_td406_rep04,pair_sli427_td406,4.0,round_02,stage2_sli,427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli427_td406_rep04_A1_SLI.cha,25,0.64,11,427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/B/427_A1.cha,0.3871282944777443,0.10708719601330624,0.3111111111111111,0.1125730860380163,136.18419508179497,120.66297471793166,0.2050828943643474,0.05714285714285716,1.314318414308449,1.1248172283743654,0.6043956043956044,1.1589960437217979
synthetic,SLI,A1,pair_sli427_td406_rep05,pair_sli427_td406_rep05,pair_sli427_td406,5.0,round_02,stage2_sli,427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli427_td406_rep05_A1_SLI.cha,45,0.6888888888888889,11,413,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/A/413_A1.cha,0.27198098398912485,0.15967654472275325,0.23809523809523808,0.16495045732208483,144.4096862086391,108.00052455374646,0.08993558387572798,-0.015873015873015872,1.176392994684442,1.1927559060289767,1.0879120879120878,1.247530463728324
synthetic,SLI,A1,pair_sli427_td406_rep06,pair_sli427_td406_rep06,pair_sli427_td406,6.0,round_02,stage2_sli,427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/stage2_sli_reannotated/pair_sli427_td406_rep06_A1_SLI.cha,66,0.6212121212121212,11,427,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/SLI/B/427_A1.cha,0.29721688007992225,0.14913952868965757,0.17045454545454544,0.13604142380951367,171.8917540891266,125.9981605141783,0.11517147996652538,-0.08351370851370851,1.3724317912756236,1.4197448264742571,1.5956043956043955,1.1249724856201162
