Sentence	MOR_Tier
I seen it before .	pron|I-Prs-Nom-S1 verb|see-Fin-Ind-Past-S1-irr pron|it-Prs-Acc-S3 adv|before .
that (.) and I then saw this one .	pron|that-Dem cconj|and pron|I-Prs-Nom-S1 adv|then verb|see-Fin-Ind-Past-S1-irr det|this-Def-Dem-Sing noun|one-Acc .
then I saw these .	adv|then pron|I-Prs-Nom-S1 verb|see-Fin-Ind-Past-S1-irr pron|this-Dem-P1 .
I don't want that [//] them off .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|want-Inf-S pron|they-Prs-Acc-P3 adp|off .
I don't want him off cause he goes xxx .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|want-Inf-S pron|he-Prs-Acc-S3 adp|off sconj|cause pron|he-Prs-Nom-S3 verb|go-Fin-Ind-Pres-S3 .
too much he talk .	adv|too adj|much-S1 pron|he-Prs-Nom-S3 verb|talk-Fin-Ind-Pres-S3 .
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
this don't .	pron|this-Dem-S1 aux|do-Fin-Ind-Pres-S3~part|not .
my dad got here .	pron|my-Prs-Gen-S1 noun|dad verb|get-Fin-Ind-Past-S3-irr adv|here .
and him got here .	cconj|and pron|he-Prs-Acc-S3 verb|get-Fin-Ind-Past-S3-irr adv|here .
my sister now .	pron|my-Prs-Gen-S1 noun|sister adv|now .
my sister do dishes now .	pron|my-Prs-Gen-S1 noun|sister verb|do-Fin-Ind-Pres-S3 noun|dish-Plur-Acc adv|now .
and I don't do nothing .	cconj|and pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|do-Inf-S pron|nothing-Neg-S1 .
I just stand .	pron|I-Prs-Nom-S1 adv|just verb|stand-Fin-Ind-Pres-S1 .
