Sentence	MOR_Tier
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
&-um (.) when I xxx outside .	adv|when pron|I-Prs-Nom-S1 adv|outside .
now I make talk ?	adv|now pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 noun|talk-Acc ?
I don't wanna .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|wanna-Inf-S .
now I make kitty_cat .	adv|now pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 propn|kittycat-Acc .
now I make my Mommie .	adv|now pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 pron|my-Prs-Gen-S1 propn|Mommie-Acc .
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
xxx me water now .	pron|I-Prs-Acc-S1 noun|water-Acc adv|now .
I xxx up .	pron|I-Prs-Nom-S1 adv|up .
I no want do no more .	pron|I-Prs-Nom-S1 intj|no verb|want-Fin-Ind-Pres-S1 verb|do-Inf-S adv|no adj|more-Cmp-S1 .
I no want do no more .	pron|I-Prs-Nom-S1 intj|no verb|want-Fin-Ind-Pres-S1 verb|do-Inf-S adv|no adj|more-Cmp-S1 .
I got one too .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr num|one adv|too .
I got tv too .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr noun|TV-Acc adv|too .
where Papa_Smurf lives .	adv|where propn|PapaSmurf verb|live-Fin-Ind-Pres-S3 .
I got so much babies .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr adv|so adj|much-S1 noun|baby-Plur-Acc .
I got so much babies .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr adv|so adj|much-S1 noun|baby-Plur-Acc .
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .
why you spill ?	adv|why pron|you-Prs-Nom-S2 verb|spill-Fin-Ind-Pres-S2 ?
no I don't !	intj|no pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not !
I got earrings too .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr noun|earring-Plur-Acc adv|too .
I took one right there and put xxx .	pron|I-Prs-Nom-S1 verb|take-Fin-Ind-Past-S1-irr num|one adv|right adv|there cconj|and verb|put-Fin-Ind-Past-S1-irr .
so much thing .	adv|so adj|much-S1 noun|thing-Ger .
