condition,sample_id,temperature,output_story
Few-Shot (2 Examples),1,0.7,"He's playing in the sand. Rabbit and dog. They have shovels. They wanna build. Build. Yeah. Big castle. Together. Fun.

He's patting the sand. Dog. Walls. Strong. Careful. Rabbit, dig. Digging. Bucket. More sand. Working. Hard.

Mistake. Rabbit. Heavy. Heavy bucket. Oops! All the sand. Castle. Smash. Flat.

Dog cry. Upset. Hard work. Ruin. Rabbit bad. Feel bad. Didn't mean. Break it.

Rabbit pat. Pat the sand. Fix. Fix castle. Dog happy. New one. New castle. Build."
Few-Shot (2 Examples),2,0.7,"Um, rabbit and dog... playing... in the sandbox. They have... shovel. Yeah. Want to build... sand_castle. Together. Fun.

Dog... pat pat. Make the sand... strong. Rabbit... dig dig. Get more sand. Work hard.

Rabbit... make mistake. Lift heavy bucket. Boom! Sand on castle. Smash. Down flat.

Dog... cry. Upset. Hard work... ruined. Rabbit... feel bad. Not mean to break.

Rabbit... pat pat. Fix castle. Make dog happy. New castle... yeah!"
Few-Shot (2 Examples),3,0.7,"Uh, rabbit and dog. Um, they were playing. They had shovels. They wanna build. Build a big... castle. Yeah. Castle. Fun.

He was patting. Pating the sand. Dog was patting. Rabbit was digging. Digging with bucket. He was getting more sand.

Uh, mistake. Rabbit made a mistake. He lift... his bucket. Dumps all the sand. On the castle. Castle smash. Flat.

Dog cry. Dog cry. She was very sad. 'Cause castle... was broken. Rabbit feel bad. He didn't mean to break it.

Rabbit pat. Pat the sand. Fix it. He wanna fix it. dog be [* m:unv:a] happy. They build... new castle. Yeah. New castle."
Few-Shot (2 Examples),4,0.7,"Um, rabbit and dog. Playing in the... sand. They had... shovels. Want to... castle. Big castle. Fun. Fun.

Dog pat. Pat the sand. Make the walls... strong. Rabbit dig. Dig with bucket. Get more sand. They work... hard. Hard.

Rabbit... um... make a... mistake. Heavy bucket. Dump. All the sand. On top. Castle... smash. Flat.

Dog cry. Cry because... castle. Broken. Rabbit feel... bad. Feel bad. Dog upset.

Rabbit pat. Pat the sand. Fix the castle. Make happy. New castle. Build... new one."
Few-Shot (2 Examples),5,0.7,"Um, rabbit and dog. Play in the sand. They have shovels. They wanna build. Big sandcastle. Yeah.

He's patting... patting. Sand. Make strong. Dog. Rabbit dig. Dig. Bucket. Get more sand.

Work hard. Work hard. Rabbit... mistake. Lift bucket. Boom! Castle smash. Flat.

Dog cry. Cry. Upset. Hard work. Rabbit feel bad. Feel bad. Don't mean to break.

Rabbit pat. Pat. Fix. Fix castle. Dog happy. Happy. Build new one."
Few-Shot (2 Examples),6,0.7,"""Rabbit and dog... play. Play in the sand. They (i)s got shovels. They wanna make... castle. Castle. Yeah. They (i)s having fun.

Dog... pat. Pat the sand. Make it strong. Rabbit... dig. Dig with bucket. Get more sand. They (i)s working. Working.

Uh, mistake. Rabbit... lift. Lift bucket. And... whoops. Smash. Castle. Castle fall down.

Dog... cry. Dog cry. She (i)s sad. Rabbit... feel bad. He (i)s sorry. He (i)s wanna fix.

Rabbit... pat. Pat the sand. Fix it. Dog (i)s happy. They (i)s build... new castle. New castle. Yeah."""
Few-Shot (2 Examples),7,0.7,"One day. Rabbit. Dog. Playing. Sandbox. Shovels. Build. Sandcastle. Fun.

Dog. Pat. Pat. Make walls. Strong. Rabbit. Dig. Dig. Bucket. Sand. Work. Hard.

Mistake. Rabbit. Lift. Bucket. Smash. Castle. Down. Flat. Dog. Cry. Upset. Sad.

Rabbit. Feel bad. Not mean. Break. Want fix. Rabbit. Pat. Sand. Fix. Castle. Dog. Happy.

New one. Build. Dog. Rabbit. Happy."
Few-Shot (2 Examples),8,0.7,"One day, a rabbit and a dog. Playing in the sand. They got shovels. And they wanted. Build a big sandcastle. Together. They were having fun.

The dog. Um, pat. Pat the sand. Make the walls strong. The rabbit. Dig. Dig with bucket. Get more sand. They work. Hard.

Uh, the rabbit. Mistake. Lift. Heavy bucket. Dump sand. On the castle. Smash. Fall down.

The dog. Cry. Upset. Hard work. Ruined. The rabbit. Feel bad. Don't mean to break. Want to fix.

The rabbit. Pat. Pat the sand. Fix. Try to fix. Dog happy. New castle. Build. New one. The end."
Few-Shot (2 Examples),9,0.7,"Um, rabbit and dog... in the sand... they (i)s playing. They (i)s got... shovel. They (i)s want to build... castle. Castle. They (i)s having fun.

Dog... pat the sand. Make the... walls strong. Rabbit... dig with... bucket. Get more sand. They (i)s work... hard.

Uh, rabbit... make a... mistake. Lift the... bucket. Dump the sand. Smash the castle. Flat.

Dog... cry. Upset. Castle... ruined. Rabbit... feel bad. He (i)s sorry.

Rabbit... pat the sand. Fix the castle. Make happy. Dog... be happy.

Rabbit... dog... build new... castle. New one. Yeah."
Few-Shot (2 Examples),10,0.7,"Um, rabbit and dog. Play in the sandbox. They have... uh... shovel. Yeah. They wanna build a big sandcastle. Big one. They're having... fun. Fun.

Dog, pat... pat. Pat the sand. Make the walls... strong. Rabbit, dig. Dig with bucket. Get more sand. They work... hard.

Uh, rabbit make a... mistake. Lift bucket. Dump sand. On top. Castle... smash. Flat.

Dog... cry. Cry because... castle. Rabbit feel... bad. Bad because... accident. He wanna make... right.

Rabbit, pat. Pat the sand. Fix castle. dog be [* m:unv:a] happy. Again. They build... new one. New castle. The end."
