Sentence	MOR_Tier	Error_Type
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .	No_Error_Detected
&-um (.) when I xxx outside .	adv|when pron|I-Prs-Nom-S1 adv|outside .	No_Error_Detected
now I make talk ?	adv|now pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 noun|talk-Acc ?	No_Error_Detected
I don't wanna .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|wanna-Inf-S .	No_Error_Detected
now I make kitty_cat .	adv|now pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 propn|kittycat-Acc .	No_Error_Detected
now I make my Mommie .	adv|now pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 pron|my-Prs-Gen-S1 propn|Mommie-Acc .	No_Error_Detected
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .	No_Error_Detected
xxx me water now .	pron|I-Prs-Acc-S1 noun|water-Acc adv|now .	No_Error_Detected
I xxx up .	pron|I-Prs-Nom-S1 adv|up .	No_Error_Detected
I no want do no more .	pron|I-Prs-Nom-S1 intj|no verb|want-Fin-Ind-Pres-S1 verb|do-Inf-S adv|no adj|more-Cmp-S1 .	No_Error_Detected
I no want do no more .	pron|I-Prs-Nom-S1 intj|no verb|want-Fin-Ind-Pres-S1 verb|do-Inf-S adv|no adj|more-Cmp-S1 .	No_Error_Detected
I got one too .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr num|one adv|too .	No_Error_Detected
I got tv too .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr noun|TV-Acc adv|too .	No_Error_Detected
where Papa_Smurf lives .	adv|where propn|PapaSmurf verb|live-Fin-Ind-Pres-S3 .	No_Error_Detected
I got so much babies .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr adv|so adj|much-S1 noun|baby-Plur-Acc .	No_Error_Detected
I got so much babies .	pron|I-Prs-Nom-S1 verb|get-Fin-Ind-Past-S1-irr adv|so adj|much-S1 noun|baby-Plur-Acc .	No_Error_Detected
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .	No_Error_Detected
I don't know .	pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not verb|know-Inf-S .	No_Error_Detected
why you spill ?	adv|why pron|you-Prs-Nom-S2 verb|spill-Fin-Ind-Pres-S2 ?	No_Error_Detected
no I don't !	intj|no pron|I-Prs-Nom-S1 aux|do-Fin-Ind-Pres-S1~part|not !	No_Error_Detected
