Sentence	MOR_Tier
he's stolen my bike .	pron|he-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|steal-Part-Past-S-irr pron|my-Prs-Gen-S1 noun|bike-Acc .
no they're up there .	intj|no pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|up adv|there .
cold <is it> [?] .	adj|cold-S1 aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .
where the bed ?	adv|where det|the-Def-Art noun|bed ?
&-uh it's the baby .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|the-Def-Art noun|baby .
shall we catch the ball ?	aux|shall-Fin-S pron|we-Prs-Nom-P1 verb|catch-Inf-S det|the-Def-Art noun|ball-Acc ?
shall we get this off ?	aux|shall-Fin-S pron|we-Prs-Nom-P1 verb|get-Inf-S pron|this-Dem-S1 adp|off ?
I'll sit on the floor .	pron|I-Prs-Nom-S1~aux|will-Fin-S verb|sit-Inf-S adp|on det|the-Def-Art noun|floor .
don't come in me house .	aux|do-Fin-Imp-S~part|not verb|come-Fin-Imp-S adp|in pron|I-Prs-Acc-S1 noun|house .
don't come in me house .	aux|do-Fin-Imp-S~part|not verb|come-Fin-Imp-S adp|in pron|I-Prs-Acc-S1 noun|house .
where's it ?	adv|where~aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 ?
and (.) it crashed over there .	cconj|and pron|it-Prs-Nom-S3 verb|crash-Fin-Ind-Past-S3 adp|over adv|there .
(.) move them away .	verb|move-Fin-Imp-S pron|they-Prs-Acc-P3 adv|away .
here you are .	adv|here pron|you-Prs-Nom-S2 aux|be-Fin-Ind-Pres-S2 .
here you are .	adv|here pron|you-Prs-Nom-S2 aux|be-Fin-Ind-Pres-S2 .
mine next .	pron|my-Prs-S1 adv|next .
that down .	pron|that-Dem adv|down .
all fall down .	det|all-Def-Tot noun|fall adv|down .
there , that [>] .	adv|there cm|cm pron|that-Dem .
