Sentence	MOR_Tier
they are same them .	pron|they-Prs-Nom-P3 aux|be-Fin-Ind-Pres-P3 adj|same-S1 pron|they-Prs-Acc-P3 .
here some make a for the house .	adv|here det|some-Def-Ind verb|make-Fin-Ind-Pres-P3 det|a-Ind-Art adp|for det|the-Def-Art noun|house .
no mine i(s) .	det|no-Def-Neg pron|my-Prs-S1 aux|be-Fin-Ind-Pres-S3 .
yeah , ave [: I've] done it .	intj|yeah cm|cm pron|I-Prs-Nom-S1~aux|have-Fin-Ind-Pres-S1 verb|do-Part-Past-S-irr pron|it-Prs-Acc-S3 .
(h)ow to make a tent .	adv|how part|to verb|make-Inf-S det|a-Ind-Art noun|tent-Acc .
yeah it is .	intj|yeah pron|it-Prs-Nom-S3 aux|be-Fin-Ind-Pres-S3 .
that [?] there [?] .	pron|that-Dem adv|there .
zzz they're out .	noun|zzz pron|they-Prs-Nom-P3~aux|be-Fin-Ind-Pres-P3 adv|out .
zzz can it shut .	noun|zzz-Acc aux|can-Fin-S pron|it-Prs-Nom-S3 verb|shut-Inf-S .
zzz again .	noun|zzz adv|again .
zzz again .	noun|zzz adv|again .
this on there .	pron|this-Dem-S1 adp|on adv|there .
it's [?] a space .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|space .
what's this ?	pron|what-Int-S1~aux|be-Fin-Ind-Pres-S3 pron|this-Dem-S1 ?
that's Michael .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 propn|Michael .
it's [?] a back [?] up .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|back adp|up .
I [?] wanna wee .	pron|I-Prs-Nom-S1 aux|wanna-Fin-Ind-Pres-S1 intj|wee .
want that there .	verb|want-Fin-Ind-Pres-S2 pron|that-Dem adv|there .
don't catch me .	aux|do-Fin-Imp-S~part|not verb|catch-Fin-Imp-S pron|I-Prs-Acc-S1 .
