source,transcript_id,child_id,transcript_path,age_raw,group,replicate_id,pair_id,source_child_id,utterance_count,token_count,cleaned_text
real,401,401,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/401.cha,4;10.02,TD,,,401,139,962,yeah um a elephant was was playing balls and a giraffe is there too and then one of the balls are is in the water and they wanna get it and then the horse jumped in the water and swam to it and then what um the the horse got it and gave it to um the elephant and then um the elephant looks like a girlfriend and the horse looks like a boyfriend to me and that's the end um there is a sign that said no running and the elephant wanted to go on the jumping board and he started to run and then he he said let's go there and then giraffe said um there's a sign that says no running oh come on and then she runned and she was afraid that she'll hurt herself but the gira ffe the horse was trying to catch up to her and help and then she started to cry and the guard came and put a bandaids on her and then it hurt a little bit and he said that will fix it up a little and then she then he said see that said no running and the giraffe was right the end um the giraffe that had a airplane and he that elephant said can i play with it in the water and he said he was thinking about it then he said yes and he thought it won't sink but it did sink and then the uh the giraffe played with it right there in his spot and then um the the elephant was crazy turn the page and then the the elephant had it and he put the elephant put it in the water and it sinked and giraffe didn't know what he can do be cause the giraffe didn't like going in that water and then he was ang ry mad at the elephant and then the guard came and the guard was trying to reach it then he said what's wrong with this and then the elephant told him um like giraffe gave me that and then um i put it in the water she said and then the guard tried to reach it and then the the giraffe was sad and then um another elephant came and hadded a net and he she caught it and the giraffe wasn't sad any more and they were happy now and then the and then the elephant says good job to to that big elephant and then giraffe was happy again once there was a rabbit and a dog and the dog was building a sandcastle with the bunny and the bunny said hm maybe that's a little too big for us and then the the dog said no way and then they made it a little bit bigger than that and then a little bit bigger and this the dog was a little bit too and it was a little bit too big the bunny said is this all right um okay i think it's okay and then the castle was broked and the dog hadded to built it all over again and the dog was sad and that's the end okay once there was a dog looking for some berries and the bunny was looking for some carrots and he hopped along by beautiful butter flies be cause brother i saw the butterfly was jumping on his back one time exa oh at the summer then they hadded a picnic with the food they found and then they were almost all done and then they were already done and then the bunny was sick and the dog looked at him and he thinked he was sick and then he bumped his head on the on the on the picnic table at the forest and then the a doctor was coming by and he said doctor doctor that guy ate too much food and then the doctor said hm maybe i should go over there and then he went over there and he said see not do too bad the doctor said and then he feeled his head and he tapped it and then his he he tapped it and he said aw and the doctor said say aw and then bunny this put bumped his head on the picnic table again and then he was better that's the end um the dog was carrying a balloon and the bunny said can i see it and then he was and then the dog said yes and he talked walked towards it and he accidentally popped it and then he he cried and then the the they hadded to get a new balloon at their home but they didn't know which way was their home and it floated up in the sky when they got the other balloon and then the dog was angry at the bunny and then there is a balloon seller guy and then they went towards him and he choosed another balloon and then he said it's five dollars and then the bunny opened up his pocket and he had no money and that guy said do you have money dog said and the dog said um only a um a quarter good then you can have a balloon and your friend can so they both had a balloon and then the doctor came along and he said um can we and then the doctor said which beautiful colors balloons and then he took um all of the balloons and the kids were sad and then he buyed some for the kids and he buyed some for the other kids at the doctor and then they both played with them that's the end
real,402,402,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/402.cha,4;07.12,TD,,,402,107,557,that's a kid walking in there right a kid walking in there kid a kid putting those in there okay a kid is buying cookies buying cookies and they fell down that man was really mad the man was really mad that is a elephant and that is a cow a cow that's elephant and then that's a cow again a elephant and a cow that that guy fell in the mud and this girl picked her up pick up picked him up elephant and he was very mad at her they were gonna go in the pool right they were gonna go in the pool um she was gonna hurt herself when she went and she hurt herself she hurt her self she got a scratch and then that guy came and and then she had a bandaid on hm they were happy this guy's mad he is yup he had the airplane and it was his and this guy got it all tangled and the girl had it now and now the girl then the girl dropped it in there she dropped it in there and this guy was mad now they were both now they were both mad and that girl lots of pages um the girl's mad and now that guy was gonna reach it and he couldn't and then this guy was crying and this girl yes she did and this girl this girl was gonna catch it and she caught it she caught it then she gave it to him then he then she was happy he and him builded a castle and then that guy was going to build a really high and then it spilled all over and then it was broken and he was mad it was all his fault he did it this guy was sad and that guy wasn't happy no this guy that guy was crying that guy was running he was and then that guy was going he was he was going like the bunny was yeah sticking his tongue out now he sat down like he went like this and that guy was mhm that guy ran to him that guy ran to him then he did he this guy this guy pulled him this guy pulled him um now this guy was going again yeah now that guy was in the sand and then that guy this guy walked with h im that guy was running again this guy was no that guy was that guy was that bunny was gonna take that balloon then he got it and he untied it he untied it and it flew away and it shouldn't do that that bunny shouldn't do that he shouldn't do it and then that guy was really mad and then that guy saw that guy and he had more balloons then this guy ran up to him then he was gonna get a balloon this guy was ran up to h im he got a balloon then this guy was very sad then this guy got it this guy this guy was here then that guy said he went over this guy said over there this guy said over there and then this these two got a balloon then this guy sticked his teeth out teeth out like this yeah
real,403,403,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/403.cha,4;03.00,TD,,,403,73,484,uh the bunny rabbits are digging the the bunny the bunnies are making a sandcastle they're dumping it on and he no no they're making a new castle the end they're going on a walk they're eating too much things he has a stomachache his eyes are fluttering they're having to work he's holding his hand he he now he has a stomachache uh the little boy is going home the end they're they're they're pulling this they're pulling the wagon they were they found the balloon they tied it on the wagon it flied away and they were really mad then then the man comed with balloons he pointed which one he wanted but he had a stomachache here comes another one and he said do you want a balloon he and he runned back um he telled him what was wrong then and then and then they said we want a balloon and he and then they had a balloon the end uh there's an elephant and there's a and there's a giraffe the elephant and the giraffe looked at a stone but they they thought it was a balloon then they were and and and they were swimming for it and and then he got and then the elephant got it and they're playing soccer with it the end they're gonna they're gonna swim in there but they hafta jump from the diving board she goes first the elephant goes first and then then they were whos goes first and they the giraffe was going to go first and then the elephant goed ahead of him then then he was racing to get the elephant to go to jump in the diving board then then she hurt her knee then giving her a bandaid uh uh she was crying she bringed her to the giraffe he was gonna hug her and then then then she had a time out and she was running on the deck that's not allowed and she was going to go on a time out the end uh they told questions they found a elephant in his uh they found a a plane in his pocket and then the elephant grabbed it without saying please and then she was going throw she throwed the i she it slipped out of her hand and it goed in the water and it was sinking then then the then the man it was going to swim he said why is that airplane in the pool she said i and it slipped out of his hand she said then and then and then he thought she was trying to get it but he was gonna fall in the water then he was too scared too scared then he was gonna catch it the girl and mommy uh she caught it she gave it to him then they were happy the end
real,404,404,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/404.cha,4;07.12,TD,,,404,84,356,i don't know one's walking one stopped stopped one went to buy cookies then he knocked them all down he was running this guy was very mad he came t o one's digging digging again one poured sand on the castle one wa s sad one's kinda happy they're walking with food eating the bunny's sometimes a little i'm a little shy i am sometimes this one's sleepy he has a big tummy tummy tummy just like this and one has a dress on one man has glasses on o ne sticked his tongue out ooh gross ooh one's walking they have a balloon tied on to the wagon wagon tied on they still have it tied on one sticked his tongue out g ross one the balloon's flying away one's crying they found balloons they found balloons and one's going to grab one he got mad he got mad they all popped up there one got caught they're leaving one's smiling shy oh talking about the picture one's shy on the picture one the giraffe has an airplane he's going to fly it the elephant's going to bite it to bite it ooh it got stuck in the sand got stuck in the sand still still stuck in the sand still stuck in the sand still stuck in the sand still stuck in the sand still stuck in the sand ooh the elephant's going to pull it out an d the elephant got it out the elephant gave it to the giraffe very nice mhm that elephant gave the airplane back they're always not the same they're going to jump in the water one's running o ne's slipping one's slipping one hurt the bandy one hurt her knee o ne one hasta get a bandy on ooh li ke that the elephant's eye is like uhhuh she's sitting on a bench with a bandy with a bandy on she's face is like one's doing a ball bounce one threw the ball in the sand it got stuck one's digging in to get the ball one the elephant's going to help the giraffe whee one's crying
real,405,405,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/405.cha,4;08.15,TD,,,405,97,614,once a horse met elephant and then they saw a ball in a pool and then the horse tried to swim and get the ball and the and then the elephant gave him the ball and then the horse was wet and the elephan t was holding the ball the end they might be the same okay once a horse and this this was a horse and saw saw that that i just talked about but the ball wasn't in there and then the elephant wanted to go in i mean not and then he his feet went like this then he hurt his knee cap and then the horse helped him then there was an other elephant and he was a lifeguard and then i don't know what they did but they are doing something well how you look at the pic ture be cause i don't know i think they are battling and then they sat on the bench and then the lifeguard was mad and i'm i'm just i'm just yes the end yeah once that horse and elephant was happy near the swimming pool oh and then the horse had an air plane to play with a which had something coming down the bottom and the elephant went like this then he tried it and the horse went like this then they put it in the water and then the elephant went like this and then the horse was mad and then the lifeguard went like this then the elephant talked to him a little bit and then the lifeguard tried to get it but he couldn't and the horse cried and then a elephant with a net came and she caught it and then she gave it back to the horse and then the horse went like this they love it and the end yes ready once two rabbits made a sandcastle and it was a great one and then one did this with a and one took some and the other one took some sand from a a pail because they were down at the beach and then he dumped it on the castle and then it part of it stayed the way it was but the rest turned into just a lump and then they tried to do it but it wasn't very good that time the end yes we saw two rabbits had baskets and were in part of the forest or we can call it the woods then they had a picnic th en one of them belly got this big about this big and then in the picture there's a twirl around on his head and then a bigger bunny came up and they run to that bunny and then he falled asleep and then he did this i don't know and then he was happy yes the end okay yes once that little bunny was pulling a wagon and that other fat bunny came up and then he liked the balloon and then he tried to get off and then he got it off but they lost the grip and it was helium and then another man came with a bunch of balloons but but then they he went to them and he said that it the balloons were five cents and he couldn't find five cents and then they were sad then they went back to that out by the we found that other story and he said i want one of those balloons he gave him five cents and then they gave him a balloon and they gave him to them to them and then they both have one the end
real,406,406,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/406.cha,4;07.15,TD,,,406,111,799,there was a little boy who walked to the street and and the road he almost drove by him and uh he might dead he was gonna get potatoes and not and he is gonna eat them because he shouldn't paid for them and then he get them and he he got and he got and ate one of them a piece so now he crumpled them all up and said uhoh now they let juicy juicy i said what uhoh what you'll see now i'm gonna go back to your my home and i'm gonna be boowie c boowie c spooky boowie c spooky yeah now he's going to say aah no no no no no no no i'm not going take those balls home to his raygie c raygie c that day that balls got stuck and he said oh oh and the lady called away and said uh i'm going to get that ball um and they said uhoh the choo choo train's coming that way he swimmed to the ball and now he said oh he cried and cried and cried um now he helped him to get that ball and then now he helped to get him up and he couldn't get up now now he get the ball and he was so ex cited but he was always day long always day long once upon a time there was a little girl walking down the street and there was bridges all over the car now he said go in there go in there he said no no no i'm not going in there so he ran to the room and got dressed and goed and got there again said ow ow ow ow ow ow ow ow o w ow ow ow o w ow ow he said i'll get you a bandaid i'll get you a bandaid so that day that day was always he put a bandaid on him and now he said ow that still hurts that still hurts now he said you hafta go and sit down now they're going to now you get there and i'll get you there all all the time g a that day that one he said aah that one died i'm going to that one i got the airplane now it's not going far away now so please please please i'll get the airplane no i'll fight with the airplane so all the day his long it always day so he was started to be always day or long so that day he painted his nails and he threw him back to the car and got his car so he said uhoh there's two elephants and one giraffe now i'm going to be n o n o n o i'm going to be this uhoh oh so no i think so not going to do it anymore because it's my page i'm not going to so he stand to tay to say goodbye and he was always there for awhile so he was start to be he was starting getting that and he saw it and get it and he was done so he put the airplane in there and he got him all the day so please i won't help you please please i won't that little day he was always inside it please don't do that always do everything what i wanna do so i wanna do please please all my please i don't want you ah yes i want okay i'll be that that way he was always doing those so he was always doing the second page second page and second page that day he was trying to go to the picnic that day he was going to ride a picnic that day he'll have in a mess that day he cleaned it all up that day he droom n back to the car that day he helped him up that day he slammed right down again that day he got a mess again got a mess now that day he was getting the wagon getting the wagon that day he zoomed back get zoom back that day he got dressed that day he reached for the balloon but he reached for the balloon that day he broke off the string that day he zoomed back to this thing that day he gived them more balloons he was turning five yeah i turned he turned five now he popped all the balloons now he got his now he got his um balloon back now he didn't want him any more and he said i want them please and he give them back and that's and that day he he got they all got ex cited so they had them
real,407,407,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/407.cha,4;02.18,TD,,,407,63,385,he is going to the door now he's gonna have a duckie and he shows a duckie and the whole thing fell down and the owner was very mad they're digging and making a sandbox they're mixing up sand now they're dumping it on a sand castle now the sand castle is all broken and now they're fixing it up again they're chopping they're having a picnic now now it's all done now they have a stomachache now they're going to the doctor and now they're pulling the doctor over there and now the doctor is looking and now the doctor is taking her now they're pulling a wagon now they're not there's a balloon on the wagon now they're untying it and it's flying away and now they're angry but they're gonna buy a new one and they did and he was mean he didn't let them have one now they're running off to another a rabbit and and another rabbit is doing that another rabbit and there was a nus i mean a bone and a and and this rabbit made him get a balloon they got their own they're looking at balls and now there's this one and now it rolled off and it and the cow is coming to get it the cow and he caught it and they were happy again done they're going swimming and it's a deep pool and now they're gonna jump right now so they did and they got hurt they shouldn't have ran and now another elephant is there and it's taking it to the bench and put a bandaid on it she had to stay there they're gonna fly a airplane over the water and he and the cow lift it up and the and the a nd the elephant grabbed it and it landed kaboom in the water now they're angry and the lifeguard came and said don't do that and then he tried to get the but he couldn't and then it was then an an another lifeguard came with a net in his hand and he took the the net and put it in the water and got the airplane and then they were happy and now they had the airplane com this they is different than they in previous utterance
real,408,408,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/B/408.cha,4;05.01,TD,,,408,78,524,yes a kid going to buy something buy juice i think um to buy a cookie or something he's going to pick one i guess and then it fought which one of you build a castle to put in sand in there people and to put in some more sand on there and then it wrecked and then he couldn't put it back up and then he was sad they're going to have a picnic they're go they're eating lunch and then he's full and then the rabbit's full and then he has a stomyache c and then the mailman was bunny rabbit and then could we you gotta come with me and then crying and then you had a picnic and then you had a stomyache c a balloon and it's going away and then he's putting it back on and then the balloon is up the sky and then the puppy's um mad the bunny rabbit the puppy is mad be cause he um didn't um have his balloon back and then he had the other balloon and then can we have one just one and one for you and one for him and then if you fight no more balloons and then he's happy and then there's every balloon there's every balloon and then there's two left and then they both had their o wn balloon um a an elephant and a zebra a elephant and a zebra were a balloon and then they throwed it in the water and tried to get it and then the elephant was getting it and then the elephant got it gave it to him and then he say please and then he he gave it to him and then they wanted to go swim together and then come on let's go swimming that might be a good idea and then they were running and then they were going to get through to um eat to have a picnic and then she hurt her leg and then the brother camed and then and then the the other the boy elephant came and then he cried okay i will get a bandaid and then she had a bandaid that's a little bit better now and then you gotta sit and then if it feels better you can walk and then both of them um um fly the airplane i hope it doesn't fall in the water if it falls in and then he was gonna do it and then she taked it away from his hand to her for her to fly it and then it crossed in the water and then it's your fault you did it what's the matter with you guys and then um he um um put down the airplane in the water i'll try to get it and then he was trying to get it and then he couldn't reach and then he they were very crying and then i will try to catch it with that ho w and she caught it there you go thank you and then thank you very much i want you to undo that again
real,409,409,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/409.cha,4;10.01,TD,,,409,68,455,i see a little boy i see two shopping carts and i see some apples stuff like that um he's gonna buy some apples looks like um he's gonna buy some cookies and he is all of the boxes are falling and then the um uh he's running there's an elephant and a horse and they see a big bubble in the swimming pool um he's going to pop it the horse it was a ball i think it was a ball it was a ball um elephant was happy a horse is um going to jump into the pool but the elephant was going to jump off the edge but he slipped he got an owie uh the horse came and the other um elephant came and they sit on a bench and they and the um elephant no running on the sign there's a sign the horse um uh is has a airplane in his hand and he's flying it and elephant took it from his hand and it fell in the water and the horse was mad and it was it was coming it was floating a nd it was sinking the boy was trying to reach it but he couldn't and he and then the girl um got a a net and he and she um got it and she got it and she gave it back and then he was happy um they're building a sandcastle a sandcastle the bunny and the dog are still building it they're gonna um put a pail on it and it broke and the dog was crying that's short um they're going to pick some i don't know i don't know what they're going to pick they picked they picked um a sandwich and all kinds of stuff and they and the boy and the bunny was full and he was dizzy and and the bunny um was um um and his mom the doctor was coming and the dog was pulling her and she was gonna check her check him the bunny and they were going back home um they're pulling a balloon onto a a little pulling a balloon on a a little thingy a little thingy and it's getting smaller um actually it was um getting undone but it um floated up to the sky and the dog was very mad and a guy was bringing lots of balloons and they picked one and they got number five and it floated up again and then it just came again and then um the bunny said to the just wugwug c this guy has a lot of balloons and she got one and she and they got one both got one each
real,410,410,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/archive/phase1_prompting/data/enni_files_4-5/TD/A/410.cha,4;01.27,TD,,,410,64,401,the elephant and the cow cow elephant cow and a elephant they're trying to find each other the elephant and the cow had a accident with the ball and the the cow got in there he got in there he got in there and the elephant got it and the cow is still in there and the cow and the the cow is dripping and she has the ball there's a slide cow and a elephant a cow and a elephant and a slide and a pool and the elephant's running and slipping and the sand and the cow and she got hurt she got hurt on her knee and it hurted and she can't go in the pool and she hurt herself uh the the cow and the elephant the cow the elephant has a ribbon and a dress and the cow gots a airplane and and uh she got it and it got in the water and the cow was mad and she's mad too both of them are all mad and the elephant is getting it he tried and tried to get it she gots a net to catch it and she's going to get it with the net and they got it back and they're happy the rabbit and the the he she made a a sandcastle and the rabbit gots a shovel and the rabbit wants to play and the and he something's going to happen to the sandcastle and it brokeded and then the she's crying they got picnic baskets and they're having lunch and they're and the rabbit's full full and they're and and the she's hungry and the and she goes to another lady and she she's going to say hi and there's the rabbit's mom the there's a balloon and a wagon and she's carrying and the rabbit's not he's not carrying and the girl's just carrying it nothing and there the balloon's gonna be poppeded and the the rabbit's going to take it off and it's going away and it got away and they were go and get another one from the man they're picking one and they're gonna give one and they're gon na to go the man said no and and there's there's the bunny's mom and he's the the rabbit said he won't give me a balloon and now it he's getting one and he got both balloons
