condition,sample_id,temperature,output_story
Zero-Shot (Rule-Based),1,0.7,"Rabbit and dog go play in sandbox. They have shovels and want build big sandcastle. They are happy.

Dog pat sand to make strong. Rabbit dig with bucket to get sand. They work hard.

Rabbit make mistake. He lift heavy bucket, sand go on castle. Castle smash, fall down.

Dog cry. She sad because her work broken. Rabbit feel bad. He no mean to break it.

Rabbit pat sand again. He try fix castle. Dog happy again. They build new castle."
Zero-Shot (Rule-Based),2,0.7,"Rabbit and dog go play in sandbox. They have shovels. They wanna make big sandcastle. They play, have fun.

Dog pat sand, make castle strong. Rabbit dig with bucket, get more sand. They work hard, castle go good.

Rabbit make mistake. He lift bucket, dump sand on castle. Castle smash, fall down. Oh no!

Dog cry, rabbit sad. Rabbit say sorry, he no mean to break it. Dog no mad, they just wanna play.

Rabbit pat sand, fix castle. He try to make it good. Dog smile, they build new castle. They play, have fun again."
Zero-Shot (Rule-Based),3,0.7,"The dog and rabbit play in the sand. They have shovels and want to build a big castle. They have fun.

The dog pats the sand to make walls strong. The rabbit digs with bucket to get sand. They work hard.

The rabbit makes mistake. He lifts bucket and dumps sand on castle. Castle smash, fall down.

The dog cry. She is sad. Rabbit feel bad. He don't mean to break it.

Rabbit pat sand back. He fix castle. Dog happy now. They build new castle."
Zero-Shot (Rule-Based),4,0.7,"The rabbit and dog play in sandbox. They have shovels. They make big sandcastle. 

The dog make walls strong with shovel. Rabbit dig with bucket. They build castle together.

Dog pat sand very good. Rabbit get more sand with bucket. They work hard.

Rabbit do bad thing. He dump sand on castle. Castle fall down. Dog sad.

Dog cry. Rabbit feel bad. Rabbit no want dog sad. 

Rabbit pat sand. Dog feel happy. They build new castle."
Zero-Shot (Rule-Based),5,0.7,"There was a rabbit and a dog. They were playing in the sandbox. They had shovels. They wanted to build a big castle. 

The dog was patting the sand. He made the walls strong. The rabbit was digging. He got more sand. 

The rabbit made a mistake. He dumped sand on the castle. It was an accident. The castle fell down.

The dog was crying. She was sad. The rabbit felt bad. He didn't mean to break it.

The rabbit started patting the sand. He fixed it a little. They built a new castle. The dog was happy."
Zero-Shot (Rule-Based),6,0.7,"They were rabbit and dog friends. They were playing in sandbox. They had shovels. They wanted build big sandcastle. They were having fun.

The dog was patting sand. Dog was making walls strong. Rabbit was digging with bucket. Rabbit was getting sand.

Rabbit made mistake. Rabbit lifted bucket. He dumped sand on castle. Castle smashed down.

Dog was crying. Dog was sad. Rabbit felt bad. Rabbit didn't mean break castle.

Rabbit started patting sand. Rabbit was fixing castle. Dog was happy again."
Zero-Shot (Rule-Based),7,0.7,"The rabbit and dog play in sandbox. They use shovels to make sandcastle. They have fun.

The dog pat sand to make strong wall. The rabbit dig sand with his bucket.

The rabbit make mistake. He put sand on castle. The castle break.

The dog cry. The rabbit feel bad. He don't mean to break castle.

The rabbit fix sand. He make castle again. The dog happy."
Zero-Shot (Rule-Based),8,0.7,"Rabbit and dog play in sandbox. They have shovels. They wanna make big sandcastle. They happy.

Dog is patting sand. Rabbit is digging. He wants more sand. They work hard.

Rabbit makes mistake. He dumps sand on castle. Castle falls down. Rabbit didn't mean to.

Dog cry. She sad. Rabbit feel bad. He wanna fix it.

Rabbit start pat sand. He try fix castle. Dog happy. They build new one."
Zero-Shot (Rule-Based),9,0.7,"The dog and rabbit play in sandbox. They have shovels. They want to make castle.

The dog is patting sand. He is making walls strong. Rabbit is digging with his bucket. He is getting sand.

Rabbit do bad thing. He drop sand on castle. Castle fall down. Dog is crying. Dog is sad.

Rabbit feel bad. He no mean to break castle. He want to fix it. Dog no cry now.

Rabbit and dog start again. They make new castle. They have fun now."
Zero-Shot (Rule-Based),10,0.7,"A rabbit and dog go play in sandbox. They have shovels. They want build big castle. They have fun.

The dog pats sand with his paws. The rabbit digs with his bucket. He wants more sand.

The rabbit make mistake. He lift big bucket. He dump sand on castle. Castle fall down.

The dog cry. She sad. Rabbit feel bad. He don't mean to break it.

The rabbit pat sand again. He fix castle. He want make dog happy. They build new castle."
