index,transcript_id,child_id,pair_id,replicate_id,transcript_path,utterance_count,token_count,perplexity_mean_across_folds,perplexity_median_across_folds,perplexity_std_across_folds,perplexity_min_across_folds,perplexity_max_across_folds
0,pair_sli413_td439_rep01_SLI_bundle,413,pair_sli413_td439,1,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep01_SLI_bundle.cha,70,317,401.79863181449025,409.2578806555338,19.11628113864847,373.4290623323725,417.52448968243624
1,pair_sli413_td439_rep02_SLI_bundle,413,pair_sli413_td439,2,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep02_SLI_bundle.cha,72,344,377.75500477253246,382.25893251221214,19.78750301614082,353.5632396491404,397.85148515664537
2,pair_sli413_td439_rep03_SLI_bundle,413,pair_sli413_td439,3,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep03_SLI_bundle.cha,61,298,295.3115561985762,293.54782831937126,27.913544167933917,267.2827465274598,340.5763649424889
3,pair_sli413_td439_rep04_SLI_bundle,413,pair_sli413_td439,4,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep04_SLI_bundle.cha,73,311,395.9553192984729,400.77444954580045,19.07462761948163,368.5123515084833,418.7737916252656
4,pair_sli413_td439_rep05_SLI_bundle,413,pair_sli413_td439,5,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep05_SLI_bundle.cha,69,301,424.7283878651516,428.27473110403463,20.902011324636025,398.9573067951655,445.4916034850844
5,pair_sli413_td439_rep06_SLI_bundle,413,pair_sli413_td439,6,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep06_SLI_bundle.cha,70,366,391.85660889360923,403.20934110264585,20.596034941036116,364.3510929402061,410.8834250368313
6,pair_sli413_td439_rep07_SLI_bundle,413,pair_sli413_td439,7,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep07_SLI_bundle.cha,78,388,357.14445779528944,359.78201492617967,17.12491862926585,336.58414560930436,375.7813702611887
7,pair_sli413_td439_rep08_SLI_bundle,413,pair_sli413_td439,8,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep08_SLI_bundle.cha,68,293,415.3706885101443,423.931205294407,27.104471613609206,377.1146839331836,447.83398344764566
8,pair_sli413_td439_rep09_SLI_bundle,413,pair_sli413_td439,9,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep09_SLI_bundle.cha,71,359,395.87826650077847,403.65619044376757,25.155423532456712,363.15275647618375,422.92992742848264
9,pair_sli413_td439_rep10_SLI_bundle,413,pair_sli413_td439,10,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli413_td439_rep10_SLI_bundle.cha,74,341,376.5554941176352,384.6610249820489,18.069597406050715,346.998827032176,390.7367191131461
10,pair_sli427_td406_rep01_SLI_bundle,427,pair_sli427_td406,1,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep01_SLI_bundle.cha,69,333,410.27684896179227,416.53244998731657,16.618918116721453,382.3572621695279,423.44260554158996
11,pair_sli427_td406_rep02_SLI_bundle,427,pair_sli427_td406,2,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep02_SLI_bundle.cha,68,348,347.63943704158385,343.89827510539743,19.947721796068855,327.19856064360096,381.023107651948
12,pair_sli427_td406_rep03_SLI_bundle,427,pair_sli427_td406,3,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep03_SLI_bundle.cha,104,423,316.78973248026784,301.7795112697241,38.44019545702868,287.9933785685639,383.465328032612
13,pair_sli427_td406_rep04_SLI_bundle,427,pair_sli427_td406,4,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep04_SLI_bundle.cha,76,328,331.4883789758941,330.66082970788636,10.585578375398526,315.6466537651236,342.8123640318353
14,pair_sli427_td406_rep05_SLI_bundle,427,pair_sli427_td406,5,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep05_SLI_bundle.cha,90,372,391.52308665138855,391.5814346549823,13.458885619768754,375.07085646538656,409.296233586342
15,pair_sli427_td406_rep06_SLI_bundle,427,pair_sli427_td406,6,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep06_SLI_bundle.cha,91,385,362.6929290198271,361.1963727554839,12.772622191888635,344.0531271933803,378.4944683239342
16,pair_sli427_td406_rep07_SLI_bundle,427,pair_sli427_td406,7,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep07_SLI_bundle.cha,67,308,394.75825786240284,400.12811007582997,11.591188221877779,381.862346387264,405.5861746462516
17,pair_sli427_td406_rep08_SLI_bundle,427,pair_sli427_td406,8,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep08_SLI_bundle.cha,88,421,319.78703405191254,320.16882724255817,10.06072973259778,307.3805763097815,331.1983809417069
18,pair_sli427_td406_rep09_SLI_bundle,427,pair_sli427_td406,9,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep09_SLI_bundle.cha,74,356,441.60755100012966,441.9274670005687,20.994287481193027,418.6672850308223,472.9474538481578
19,pair_sli427_td406_rep10_SLI_bundle,427,pair_sli427_td406,10,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli427_td406_rep10_SLI_bundle.cha,85,335,363.94882534010475,350.37503919146315,39.41280085909556,326.93903722011686,429.961007418037
20,pair_sli444_td410_rep01_SLI_bundle,444,pair_sli444_td410,1,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep01_SLI_bundle.cha,91,402,314.27654109807156,302.63806899441886,43.996907364900274,277.90642617719607,390.2412300035725
21,pair_sli444_td410_rep02_SLI_bundle,444,pair_sli444_td410,2,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep02_SLI_bundle.cha,60,292,344.0709995554478,349.7298722660436,15.302098576457093,317.9681031684725,357.74257867548414
22,pair_sli444_td410_rep03_SLI_bundle,444,pair_sli444_td410,3,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep03_SLI_bundle.cha,86,300,384.3038871982114,379.2794254917413,28.084325427819945,360.2976361952083,431.3253667652404
23,pair_sli444_td410_rep04_SLI_bundle,444,pair_sli444_td410,4,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep04_SLI_bundle.cha,62,303,366.0861049104121,369.55173848010423,16.736285943840397,339.8682633457347,382.63190134989014
24,pair_sli444_td410_rep05_SLI_bundle,444,pair_sli444_td410,5,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep05_SLI_bundle.cha,84,349,379.54479113241825,372.17106008543414,33.893430976596704,345.76871355023803,436.34483193853646
25,pair_sli444_td410_rep06_SLI_bundle,444,pair_sli444_td410,6,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep06_SLI_bundle.cha,69,358,371.2822957467991,373.0641359799102,17.861535639275758,344.0572501931444,390.56955686244817
26,pair_sli444_td410_rep07_SLI_bundle,444,pair_sli444_td410,7,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep07_SLI_bundle.cha,77,273,402.4022425982433,399.6499661433278,32.725875401747764,374.3602637838997,456.22918933410426
27,pair_sli444_td410_rep08_SLI_bundle,444,pair_sli444_td410,8,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep08_SLI_bundle.cha,60,291,335.8266302137862,336.10106158093413,18.61112765321376,306.4547156511836,357.25714694966365
28,pair_sli444_td410_rep09_SLI_bundle,444,pair_sli444_td410,9,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep09_SLI_bundle.cha,100,297,425.90129754023036,426.87555063614076,19.890878943521372,396.8434735620803,449.3376111809513
29,pair_sli444_td410_rep10_SLI_bundle,444,pair_sli444_td410,10,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli444_td410_rep10_SLI_bundle.cha,61,279,315.3921952168953,315.3460679538572,16.931413685635782,293.3066101129448,337.5196929819712
30,pair_sli474_td459_rep01_SLI_bundle,474,pair_sli474_td459,1,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep01_SLI_bundle.cha,64,408,342.18906617255715,345.3719197721365,10.046341557387064,330.6071601553384,355.262593993796
31,pair_sli474_td459_rep02_SLI_bundle,474,pair_sli474_td459,2,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep02_SLI_bundle.cha,62,365,289.93149431213897,291.56982721087263,14.309545025773769,268.06595953157506,306.84640871727373
32,pair_sli474_td459_rep03_SLI_bundle,474,pair_sli474_td459,3,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep03_SLI_bundle.cha,78,399,274.20787476548645,275.3212948626642,2.8543156955109104,270.97675597031383,276.7672546456912
33,pair_sli474_td459_rep04_SLI_bundle,474,pair_sli474_td459,4,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep04_SLI_bundle.cha,61,382,291.95587344831637,299.1795020945818,11.580010042658527,277.577935218229,301.4993180064582
34,pair_sli474_td459_rep05_SLI_bundle,474,pair_sli474_td459,5,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep05_SLI_bundle.cha,68,424,293.43561504947934,296.4895681029369,6.542507261753963,281.7695308573237,296.879101304568
35,pair_sli474_td459_rep06_SLI_bundle,474,pair_sli474_td459,6,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep06_SLI_bundle.cha,55,321,352.53570194440414,359.9788004678822,14.703820291388757,332.6122494381076,366.70143934425886
36,pair_sli474_td459_rep07_SLI_bundle,474,pair_sli474_td459,7,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep07_SLI_bundle.cha,62,415,294.82326991234174,295.5547199895547,7.722381696638217,286.31748480918907,303.53377768018635
37,pair_sli474_td459_rep08_SLI_bundle,474,pair_sli474_td459,8,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep08_SLI_bundle.cha,62,327,340.16968281795636,340.5370565474902,8.111624724052751,330.5768932683734,349.1229301654816
38,pair_sli474_td459_rep09_SLI_bundle,474,pair_sli474_td459,9,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep09_SLI_bundle.cha,90,445,242.31715693686365,242.28645436921602,5.407767822450473,235.21922530184762,249.30961255390008
39,pair_sli474_td459_rep10_SLI_bundle,474,pair_sli474_td459,10,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli474_td459_rep10_SLI_bundle.cha,59,332,261.8319496789824,263.5711728282478,7.164979674431438,254.2884030652292,268.5168767661907
40,pair_sli475_td417_rep01_SLI_bundle,475,pair_sli475_td417,1,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli475_td417_rep01_SLI_bundle.cha,78,416,213.03173831639378,204.97282694051412,15.463945435690096,202.24455535525377,238.95932960812246
41,pair_sli475_td417_rep02_SLI_bundle,475,pair_sli475_td417,2,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli475_td417_rep02_SLI_bundle.cha,73,408,184.04506882782644,170.79543113440323,31.095648347616155,165.90818973758763,239.15910178166618
42,pair_sli475_td417_rep03_SLI_bundle,475,pair_sli475_td417,3,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli475_td417_rep03_SLI_bundle.cha,89,483,265.02859895125926,254.15904217956623,30.799531049982367,239.4394073613597,317.443791430493
43,pair_sli475_td417_rep04_SLI_bundle,475,pair_sli475_td417,4,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli475_td417_rep04_SLI_bundle.cha,69,396,214.82646593941405,206.37780247878817,23.998644762422753,196.79963428945956,256.7546951896974
44,pair_sli475_td417_rep05_SLI_bundle,475,pair_sli475_td417,5,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli475_td417_rep05_SLI_bundle.cha,84,441,272.88265579883506,262.00151600514516,25.388128494452314,254.21286806085237,314.8154455004841
45,pair_sli475_td417_rep06_SLI_bundle,475,pair_sli475_td417,6,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli475_td417_rep06_SLI_bundle.cha,63,347,231.13904212003945,218.8265144232112,28.398284232215953,212.50849473020568,280.15888527304463
46,pair_sli475_td417_rep07_SLI_bundle,475,pair_sli475_td417,7,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli475_td417_rep07_SLI_bundle.cha,99,412,260.09255056066075,249.30651745114,26.994878640551075,239.71352734800988,306.2530421540227
47,pair_sli475_td417_rep08_SLI_bundle,475,pair_sli475_td417,8,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli475_td417_rep08_SLI_bundle.cha,82,396,275.9369049770211,269.6783680472789,24.589075239436795,252.47905616790771,317.0845206938116
48,pair_sli475_td417_rep09_SLI_bundle,475,pair_sli475_td417,9,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/generated/test2/reannotated/bundled_synthetic_children/stage2_sli/pair_sli475_td417_rep09_SLI_bundle.cha,81,425,226.05197519015337,216.7819091262873,28.499313157896236,206.2243261324285,274.93741813232333
